candidate_name,job_title,resume
Cand_291,software_engineer,"While member of the architecture group in the Sales & E-Commerce division of Amadeus IT Group, he has been developing solutions for dynamic workflow customization for Amadeus products via a sandboxed scripting engine, based the Groovy programming language. Being a technology enthusiast, Tiago is particularly passionate about mobile development, especially for iOS."
Cand_292,software_engineer,"Chris has served in volunteer and leadership roles for a variety of not-for-profit organizations there and writes about local community improvement ideas at RichmondMatters.com. He also blogs about technology, culture, marketing and community building at ChrisHardie.com."
Cand_293,software_engineer,"Nick has been creating web based software since 2005, desktop software since 2013, and managing Linux systems since 2012. He is a rising star on Udemy having taught over 4,000 students. Nick teaches courses on the following topics:"
Cand_294,software_engineer,"WhatsApp Messenger is a cross-platform mobile messaging app, and Rick's work at WhatsApp focuses on performance and scalability of the company's server systems.Prior to joining the WhatsApp team, Rick spent 12 years at Yahoo! working on the company's platform infrastructure. Before Yahoo!, he was at SGI where he worked on interactive TV services and built SGI's disk-based broadcast VTR system. In the early 90's, at Metaphor Computer Systems, Rick developed Metaphor’s Internet services gateway for their distributed decision-support system. Rick launched his software career at Aion Corporation developing the platform for the company's expert system development environment. Rick received his BS/MSEE from Stanford. Rick Reed is Giving the Following Talks"
Cand_295,software_engineer,"Prior to this, Rahim was a Product Manager at Rovi where he was responsible for helping guide the strategic direction and development of the Rovi Cloud Services API."
Cand_296,software_engineer,"Known for creating Jenkins, a continuous integration server, he specializes on Hudson, Java, XML, web services and all programming and system administration in general. Kohsuke has worked for Sun Microsystems,Inc. for about 8 years, and then briefly worked for Oracle as Sun was acquired by Oracle in 2010. Since 2010 April, he founded InfraDNA to work on Jenkins (then called Hudson), which eventually got acquired by CloudBees, where he is currently working as an architect."
Cand_297,software_engineer,"Throughout her career, she has helped bring to life characters and special effects in major films such as “Shrek,” the “Harry Potter” series, “The Dark Knight” and “Inception.”"
Cand_298,software_engineer,"He obtained his initial degree at Imperial College and after a period developing software for structural analysis he moved to EPFL where he obtained his PhD in 2002. Since then he has been involved extensively with complex application development, spending 5 years as a Senior Developer / Project Leader for a biotech company, SmartGene SA, where he was responsible for the development of several flagship products, including a sequence proofreader and a HLA matching tool. He joined SOPHiA GENETICS in July 2012 after 4 years as an independent consultant working on various SaaS, science based projects."
Cand_299,software_engineer,He develops geo-(web-)applications using Open Source technologies in traffic related projects. His research focuses are server-side processing and analysing of near-realtime data and historical data using relational and graph databases.
Cand_300,software_engineer,"He has shared an RFC on adding support for REX, their new 16-bit dense instruction encoding. These shorter instructions overlap with the 32-bit encoding space, so require instructions to enter and exit REX mode."
